cust_id,Customer Name,Signup_Dt,City,Loyalty Tier,Age Group,Preferred Device,Gender,Acquisition_Channel,Preferred_Trip_Type
CUST00001,Anil Singh,2023/09/25,Rishikesh,None,55+,,M,App Install,Solo
CUST00002,Shreya Kapoor,01-05-2024,Shimla,None,45-54,,F,Email Campaign,Family
CUST00003,Anita Sharma,06-07-2026,Shimla,Gold,25-34,,,Referral,Business
CUST00004,Vikram Agarwal,11-07-2025,Mysuru,None,35-44,iOS,M,App Install,Leisure
CUST00005,Ritu Das,17-06-2025,Lucknow,None,45-54,,,Social Media,Solo
CUST00006,Pankaj Joshi,01-04-2026,DELHI,None,55+,iOS,M,Organic Search,
CUST00007,Arjun Malhotra,2026/06/09,Shimla,Gold,55+,IOS,,Referral,Honeymoon
CUST00008,Manoj Agarwal,2025/10/06,Bengaluru ,None,55+,,M,Organic Search,Family
CUST00009,Ashish Mehta,2026/07/30,Agra,Platinum,,,M,Paid Ads,Leisure
CUST00010,Preeti Verma,06-01-2026,Delhi,None,35-44,,F,Organic Search,
CUST00011,Rahul Reddy,2024/09/09,Kochi,None,55+,,M,Email Campaign,Honeymoon
CUST00012,Anil Kapoor,22-05-2024,Jaipur,Silver,,Android,,Organic Search,Leisure
CUST00013,Isha Malhotra,22-01-2024,Darjeeling,Silver,55+,,,Paid Ads,Business
CUST00014,Sanjay Singh,24-01-2024,Manali,Silver,55+,android,M,Organic Search,
CUST00015,Ravi Verma,17-01-2025,Calcutta,Silver,25-34,,,Paid Ads,Family
CUST00016,Swati Kapoor,2025/02/14,Kochi,none,18-24,iOS,F,Email Campaign,
CUST00017,Ritu Chopra,05-06-2026,New Delhi,None,25-34,,F,Paid Ads,Business
CUST00018,Suresh Chopra,2025/09/29,Goa,Gold,45-54,,M,App Install,Leisure
CUST00019,Shalini Nair,18-11-2025,Agra,GOLD,,,,App Install,Leisure
CUST00020,Sneha Nair,08-06-2024,Bangalore,Silver,55+,,F,Social Media,Solo
CUST00021,Manoj Joshi,2024/12/03,Shimla,Gold,55+,,M,Referral,Solo
CUST00022,Sneha Iyer,2026/03/06,Ahmedabad,NA,,,,App Install,Honeymoon
CUST00023,Ashish Gupta,23-03-2025,Shimla,Silver,55+,iOS,,Referral,Leisure
CUST00024,Rajesh Agarwal,2024/10/06,Jodhpur,None,18-24,,M,Referral,Honeymoon
CUST00025,Suresh Gupta,2024/12/23,Hyderabad,Silver,45-54,,M,Referral,Solo
CUST00026,Sanjay Patel,16-11-2023,Manali,None,35-44,,M,Organic Search,
CUST00027,Pooja Patel,05-05-2025,Goa,silver,55+,,,Email Campaign,Leisure
CUST00028,Meera Mehta,2024/08/01,Shimla,None,55+,Web,,Email Campaign,Business
CUST00029,Ananya Iyer,2026/02/23,Jodhpur,None,,Android,,Organic Search,
CUST00030,Rohan Verma,2025/06/30,Agra,None,35-44,,M,App Install,Solo
CUST00031,Ananya Gupta,2025/08/31,Rishikesh,Gold,35-44,IOS,F,Email Campaign,Solo
CUST00032,Ananya Kumar,15-06-2026,Agra,Silver,55+,,,Paid Ads,Honeymoon
CUST00033,Divya Verma,26-08-2024,Manali,Gold,18-24,,F,Email Campaign,Family
CUST00034,Divya Nair,29-09-2023,Amritsar,None,25-34,Web,F,Email Campaign,Family
CUST00035,Vivek Singh,2026/02/02,Udaipur,None,25-34,IOS,M,App Install,
CUST00036,Priya Joshi,2026/06/09,Agra,Silver,35-44,,,Paid Ads,Leisure
CUST00037,Karan Agarwal,16-03-2026,Benaras,Platinum,,iOS,M,Social Media,Leisure
CUST00038,Neha Agarwal,11-03-2025,Goa,None,45-54,,F,Paid Ads,Honeymoon
CUST00039,Suresh Kapoor,2025/02/12,Darjeeling,Silver,25-34,Android,,Organic Search,Solo
CUST00040,Kavita Menon,27-08-2024,Goa,None,35-44,,F,Referral,Solo
CUST00041,Divya Joshi,22-06-2024,Lucknow,None,35-44,,F,Organic Search,
CUST00042,Arjun Rao,30-01-2026,Kochi,None,35-44,,M,Social Media,
